# t0_x t0_y theta_par theta_perp v_x v_y likelihood est_flux
1432 1171 0.0 0.0 195.386 216.998 26.728 0.0
1873 2082 0.0 0.0 110.628 -340.478 26.727 0.0
144 307 0.0 0.0 179.000 310.037 26.725 0.0
160 391 0.0 0.0 -313.153 347.792 26.720 0.0
187 1870 0.0 0.0 -254.031 -184.565 26.718 0.0
1871 2114 0.0 0.0 -83.435 -256.785 26.715 0.0
130 285 0.0 0.0 267.000 462.458 26.714 0.0
1868 2096 0.0 0.0 144.620 -445.094 26.712 0.0
1321 1221 0.0 0.0 -30.522 290.400 26.706 0.0
1454 1267 0.0 0.0 -283.711 315.093 26.694 0.0
1879 2063 0.0 0.0 -179.000 310.037 26.690 0.0
1867 2109 0.0 0.0 39.721 -377.918 26.686 0.0
151 397 0.0 0.0 -190.000 329.090 26.684 0.0
1466 1252 0.0 0.0 -30.522 -290.400 26.681 0.0
1183 2881 0.0 0.0 328.658 -69.858 26.680 0.0
1389 2677 0.0 0.0 -218.435 -158.702 26.679 0.0
1882 2060 0.0 0.0 271.830 -197.496 26.679 0.0
141 304 0.0 0.0 180.665 200.649 26.667 0.0
1874 2073 0.0 0.0 -135.000 233.827 26.656 0.0
164 390 0.0 0.0 30.522 -290.400 26.655 0.0
962 746 0.0 0.0 -195.386 216.998 26.653 0.0
963 727 0.0 0.0 -28.223 268.521 26.650 0.0
1871 2079 0.0 0.0 -83.435 256.785 26.633 0.0
1576 599 0.0 0.0 327.049 145.612 26.629 0.0
155 393 0.0 0.0 -201.000 348.142 26.628 0.0
1403 2689 0.0 0.0 -266.755 -118.767 26.628 0.0
1188 2879 0.0 0.0 285.619 -60.710 26.627 0.0
1224 2844 0.0 0.0 -83.435 256.785 26.626 0.0
969 734 0.0 0.0 -135.000 233.827 26.622 0.0
139 305 0.0 0.0 180.665 200.649 26.621 0.0
152 397 0.0 0.0 -298.432 331.443 26.620 0.0
137 300 0.0 0.0 224.828 249.697 26.614 0.0
151 327 0.0 0.0 -83.435 -256.785 26.612 0.0
180 1864 0.0 0.0 -180.665 -200.649 26.612 0.0
1466 1251 0.0 0.0 -30.522 -290.400 26.611 0.0
1447 1271 0.0 0.0 -146.000 252.879 26.609 0.0
150 398 0.0 0.0 -313.153 347.792 26.607 0.0
